Waktu,NilaiGas
2025-05-29 19:29:03.990103,194
2025-05-29 19:29:10.991083,182
2025-05-29 19:29:19.992495,195
2025-05-29 19:29:22.993008,185
2025-05-29 19:29:29.994024,174
2025-05-29 19:29:34.994956,184
2025-05-29 19:29:38.995596,194
2025-05-29 19:29:58.998271,184
2025-05-29 19:30:02.999283,224
2025-05-29 19:30:03.999355,268
2025-05-29 19:30:04.999612,293
2025-05-29 19:30:08.000005,318
2025-05-29 19:30:09.000340,284
2025-05-29 19:30:10.000576,257
2025-05-29 19:30:11.000971,241
2025-05-29 19:30:13.001388,223
2025-05-29 19:30:17.001933,245
2025-05-29 19:30:18.002263,263
2025-05-29 19:30:19.002532,279
2025-05-29 19:30:20.002831,293
2025-05-29 19:30:21.003244,305
2025-05-29 19:30:23.003478,291
2025-05-29 19:30:24.003738,266
2025-05-29 19:30:25.004181,252
2025-05-29 19:30:26.004554,236
2025-05-29 19:30:28.004854,222
2025-05-29 19:30:32.005679,204
2025-05-29 19:30:34.006,194
2025-05-29 19:30:47.007914,184
2025-05-29 19:31:03.010169,174
